date,state,npa_plz,longitude,latitude,total_healthy,total_sick_guess_no_corona,total_sick_guess_corona,total_sick_corona_confirmed,total_recovered_confirmed,total_recovered_not_confirmed
2020-04-05,Stockholm,15530,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15531,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15532,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15533,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15534,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15535,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15580,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15581,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15591,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15592,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15593,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,15594,59.1833,17.4333,0,0,0,0,0,0
2020-04-05,Stockholm,16100,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16102,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16103,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16104,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16105,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16107,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16111,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16120,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16124,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16125,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16126,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16184,59.35,17.9167,0,0,0,0,0,0
2020-04-05,Stockholm,16186,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16189,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16200,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16201,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16206,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16211,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16212,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16213,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16215,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16216,59.3326,18.0649,0,0,0,0,0,0
2020-04-05,Stockholm,16244,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16245,59.3644,17.8741,0,0,0,0,0,0
2020-04-05,Stockholm,16246,59.3644,17.8741,1,0,2,0,0,0
2020-04-05,Stockholm,16247,59.3644,17.8741,1,0,0,0,0,0
